                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 2.8482,                 1.6773,                 1.7423,                0.64228,                 0.6125,                0.68064,                0.32902,                 2.6389,                 1.4495,                 1.7571,               0.007129,               0.007129,               0.007129
                     60,                 2.8301,                 1.6588,                 1.7378,                0.66713,                0.60954,                0.68239,                0.33029,                 2.6271,                  1.442,                 1.7547,              0.0070795,              0.0070795,              0.0070795
                     61,                 2.8061,                 1.6544,                 1.7299,                0.68363,                0.60515,                0.68165,                0.33264,                 2.6167,                 1.4342,                 1.7547,                0.00703,                0.00703,                0.00703
                     62,                 2.8164,                  1.646,                 1.7216,                0.67851,                0.61401,                0.68369,                0.33438,                 2.6042,                 1.4276,                 1.7502,              0.0069805,              0.0069805,              0.0069805
                     63,                 2.8059,                 1.6359,                 1.7182,                0.66841,                0.60795,                0.67325,                0.33537,                 2.5976,                 1.4214,                 1.7463,               0.006931,               0.006931,               0.006931
                     64,                 2.7739,                 1.6179,                 1.7151,                0.67361,                0.61518,                0.67856,                0.33905,                 2.5953,                 1.4127,                 1.7431,              0.0068815,              0.0068815,              0.0068815
                     65,                 2.7867,                 1.6203,                 1.7132,                0.68266,                 0.6115,                0.68116,                0.33896,                 2.5861,                 1.4066,                 1.7414,               0.006832,               0.006832,               0.006832
                     66,                 2.7576,                 1.6137,                 1.7093,                 0.6866,                0.62475,                0.69147,                0.34179,                 2.5814,                 1.4014,                 1.7378,              0.0067825,              0.0067825,              0.0067825
                     67,                 2.7487,                 1.5972,                 1.7055,                0.70078,                0.62845,                0.70291,                0.34404,                 2.5707,                  1.397,                 1.7337,               0.006733,               0.006733,               0.006733
                     68,                 2.7433,                 1.5864,                 1.7026,                0.69395,                 0.6345,                0.70642,                0.34698,                  2.563,                 1.3931,                   1.73,              0.0066835,              0.0066835,              0.0066835
                     69,                 2.7369,                 1.5816,                 1.7039,                0.68596,                0.63802,                0.70621,                0.34901,                 2.5558,                 1.3885,                 1.7261,               0.006634,               0.006634,               0.006634
                     70,                 2.7257,                 1.5779,                 1.7001,                0.68563,                0.63895,                0.70054,                0.34984,                 2.5511,                 1.3844,                 1.7231,              0.0065845,              0.0065845,              0.0065845
                     71,                 2.7344,                 1.5697,                  1.689,                0.68573,                0.63834,                0.70213,                0.35343,                 2.5407,                 1.3793,                 1.7197,               0.006535,               0.006535,               0.006535
                     72,                 2.6949,                  1.568,                 1.6932,                0.68514,                0.64273,                0.70458,                0.35456,                 2.5311,                  1.375,                 1.7176,              0.0064855,              0.0064855,              0.0064855
                     73,                 2.6789,                 1.5555,                 1.6853,                0.68363,                0.64365,                0.70562,                  0.355,                 2.5244,                 1.3712,                 1.7158,               0.006436,               0.006436,               0.006436
                     74,                 2.6855,                  1.552,                 1.6811,                0.68461,                0.65327,                0.71645,                0.35696,                 2.5196,                 1.3668,                 1.7135,              0.0063865,              0.0063865,              0.0063865
                     75,                 2.6487,                 1.5301,                 1.6752,                0.66854,                0.66475,                0.70936,                0.35904,                 2.5138,                 1.3625,                 1.7115,               0.006337,               0.006337,               0.006337
                     76,                  2.633,                 1.5368,                 1.6756,                0.67261,                0.66145,                0.71046,                0.36076,                 2.5048,                 1.3589,                 1.7094,              0.0062875,              0.0062875,              0.0062875
                     77,                  2.637,                 1.5123,                 1.6663,                0.67528,                0.66351,                0.71197,                0.36251,                 2.4996,                 1.3553,                 1.7073,               0.006238,               0.006238,               0.006238
                     78,                 2.6183,                 1.5072,                 1.6628,                0.69409,                0.66362,                  0.715,                0.36303,                 2.4893,                 1.3509,                 1.7044,              0.0061885,              0.0061885,              0.0061885
                     79,                  2.621,                 1.5047,                 1.6654,                0.69464,                0.65484,                0.70972,                0.36289,                  2.481,                 1.3477,                 1.7016,               0.006139,               0.006139,               0.006139
                     80,                 2.6046,                 1.5118,                 1.6641,                 0.6961,                0.65596,                0.71268,                0.36555,                 2.4768,                 1.3425,                 1.7001,              0.0060895,              0.0060895,              0.0060895
                     81,                 2.5975,                 1.5019,                 1.6626,                0.69026,                0.65979,                0.71368,                 0.3669,                 2.4684,                  1.338,                 1.6982,                0.00604,                0.00604,                0.00604
                     82,                 2.5933,                 1.4849,                 1.6547,                0.69753,                0.64989,                0.71223,                0.36732,                 2.4643,                 1.3344,                 1.6959,              0.0059905,              0.0059905,              0.0059905
                     83,                   2.57,                  1.482,                 1.6533,                0.70238,                0.65104,                0.71408,                0.36904,                 2.4567,                 1.3303,                 1.6935,               0.005941,               0.005941,               0.005941
                     84,                 2.5605,                 1.4728,                 1.6505,                 0.6844,                0.66013,                0.71426,                0.36972,                 2.4477,                  1.326,                 1.6909,              0.0058915,              0.0058915,              0.0058915
                     85,                 2.5667,                 1.4785,                 1.6488,                0.68417,                0.66375,                0.71606,                0.37255,                 2.4395,                 1.3221,                 1.6889,               0.005842,               0.005842,               0.005842
                     86,                 2.5615,                 1.4618,                 1.6513,                0.68021,                0.66906,                0.71753,                 0.3734,                 2.4318,                 1.3186,                 1.6864,              0.0057925,              0.0057925,              0.0057925
