                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 2.8849,                 1.6712,                 1.7114,                0.71063,                 0.6109,                0.68053,                0.33447,                 2.5721,                 1.4581,                 1.7304,              0.0069805,              0.0069805,              0.0069805
                     63,                 2.8503,                 1.6557,                  1.706,                0.71307,                0.61441,                0.68319,                0.33416,                 2.5626,                 1.4501,                 1.7264,               0.006931,               0.006931,               0.006931
                     64,                 2.8442,                 1.6443,                 1.7068,                0.70914,                0.61599,                  0.689,                0.33799,                 2.5541,                 1.4438,                 1.7243,              0.0068815,              0.0068815,              0.0068815
                     65,                 2.8604,                 1.6404,                 1.7031,                0.69072,                0.62667,                0.68623,                0.33721,                 2.5415,                 1.4375,                 1.7207,               0.006832,               0.006832,               0.006832
                     66,                 2.8249,                   1.63,                 1.7005,                 0.6942,                0.62567,                0.68793,                0.34076,                 2.5362,                 1.4344,                  1.718,              0.0067825,              0.0067825,              0.0067825
                     67,                 2.7896,                 1.6165,                 1.6921,                 0.7034,                  0.628,                0.69041,                0.34332,                 2.5284,                 1.4277,                 1.7152,               0.006733,               0.006733,               0.006733
                     68,                  2.791,                 1.6125,                 1.6861,                0.70647,                0.62446,                0.68897,                0.34275,                 2.5198,                 1.4232,                 1.7129,              0.0066835,              0.0066835,              0.0066835
                     69,                 2.7844,                 1.6067,                 1.6855,                 0.7117,                0.62739,                0.69319,                0.34462,                 2.5113,                 1.4179,                 1.7109,               0.006634,               0.006634,               0.006634
                     70,                 2.7777,                 1.6141,                 1.6879,                0.71249,                0.62914,                0.69505,                 0.3457,                 2.5052,                 1.4134,                 1.7081,              0.0065845,              0.0065845,              0.0065845
                     71,                 2.7706,                 1.5895,                 1.6735,                0.70971,                0.63871,                0.69909,                0.34947,                 2.4943,                 1.4081,                 1.7048,               0.006535,               0.006535,               0.006535
                     72,                 2.7752,                 1.5892,                 1.6804,                 0.7098,                0.63034,                0.69791,                0.35028,                 2.4905,                  1.405,                 1.7017,              0.0064855,              0.0064855,              0.0064855
                     73,                 2.7326,                 1.5777,                  1.675,                0.70968,                0.62682,                0.70125,                0.35234,                 2.4823,                 1.3997,                 1.6987,               0.006436,               0.006436,               0.006436
                     74,                 2.7627,                 1.5803,                 1.6751,                0.70896,                0.62676,                0.70175,                0.35375,                 2.4748,                 1.3953,                 1.6968,              0.0063865,              0.0063865,              0.0063865
                     75,                  2.696,                 1.5506,                 1.6572,                0.70749,                0.62902,                0.70493,                0.35734,                 2.4661,                 1.3912,                 1.6947,               0.006337,               0.006337,               0.006337
                     76,                 2.6827,                 1.5579,                  1.665,                0.70976,                0.62827,                0.70601,                  0.359,                 2.4598,                 1.3873,                 1.6923,              0.0062875,              0.0062875,              0.0062875
                     77,                  2.684,                 1.5313,                 1.6518,                0.70692,                0.63177,                 0.7076,                0.35878,                 2.4537,                 1.3832,                 1.6905,               0.006238,               0.006238,               0.006238
                     78,                 2.6722,                 1.5348,                 1.6496,                0.73847,                0.62313,                0.71323,                0.36181,                 2.4466,                 1.3799,                 1.6882,              0.0061885,              0.0061885,              0.0061885
                     79,                 2.6849,                 1.5298,                 1.6506,                0.73941,                0.62225,                0.71465,                0.36273,                 2.4388,                 1.3762,                 1.6856,               0.006139,               0.006139,               0.006139
                     80,                  2.665,                 1.5232,                 1.6466,                0.75399,                0.62195,                0.71673,                0.36309,                 2.4335,                 1.3722,                 1.6834,              0.0060895,              0.0060895,              0.0060895
                     81,                 2.6546,                 1.5258,                 1.6521,                0.76019,                0.62136,                0.72026,                0.36415,                 2.4322,                 1.3697,                 1.6802,                0.00604,                0.00604,                0.00604
                     82,                 2.6438,                 1.5107,                 1.6419,                0.75719,                0.62214,                0.71818,                 0.3652,                 2.4238,                 1.3661,                 1.6778,              0.0059905,              0.0059905,              0.0059905
                     83,                   2.62,                 1.5071,                 1.6373,                0.75414,                 0.6213,                0.71732,                0.36652,                 2.4169,                 1.3623,                 1.6751,               0.005941,               0.005941,               0.005941
                     84,                 2.6164,                 1.4962,                 1.6348,                0.76607,                0.62401,                0.72293,                0.36855,                 2.4115,                 1.3588,                 1.6737,              0.0058915,              0.0058915,              0.0058915
                     85,                 2.6256,                 1.5011,                 1.6287,                0.76485,                0.62643,                 0.7258,                0.37008,                 2.4073,                 1.3559,                 1.6712,               0.005842,               0.005842,               0.005842
                     86,                 2.6223,                 1.4943,                 1.6358,                0.76479,                0.63049,                 0.7258,                0.37091,                 2.4016,                 1.3522,                 1.6689,              0.0057925,              0.0057925,              0.0057925
